,id,customer_id,month,name,age,ssn,occupation,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,target,credit_history_year,score_modelv6,gh
44957,0x247a3,CUS_0xb1e7,June,Ermano,22,#F%$D@*&8,0.6132686084142395,31763.36,,7,7,25,6,0.6577363389590464,20.0,20,11.07,9.0,0.8030075187969925,1270.07,33.89502462588362,0.9188770999115826,122.71707172289784,10000.0,0.6,187.2428073429413,1,-1,7.125286502585368,0
31352,0x19c96,CUS_0x8a64,May,Barreran,31,890-19-7542,0.6169844020797227,15971.515,1366.9595833333333,4,3,11,0,0.6577363389590464,6.0,0,8.25,3.0,0.24856961220597584,566.4,25.50280793579655,0.26051560379918587,0.0,175.01964801725913,0.7443339960238569,251.6763103160741,1,26,799.3784333646782,6
29337,0x18380,CUS_0x60ca,March,David Millikenr,26,158-17-5520,0.6313993174061433,50794.18,4089.848333333333,3,5,8,0,0.6577363389590464,24.0,13,5.94,3.0,0.24856961220597584,166.69,37.86592877427193,0.26051560379918587,0.0,89.32244539014502,0.5482233502538071,569.6623879431884,0,23,370.91878993267767,3
33788,0x1bb5f,CUS_0xbf8b,February,ewichu,34,448-71-2454,0.6914285714285714,9706.79,580.8991666666667,4,7,29,6,0.6577363389590464,17.0,20,20.4,9.0,0.8030075187969925,2173.71,26.6920121445464,0.9188770999115826,27.176563837655248,56.50796967968749,0.7443339960238569,264.40538314932394,1,15,0.42973608773479555,0
9024,0x85f2,CUS_0x4f51,January,Jonathan Cableq,24,977-36-4651,0.6914285714285714,20488.9,1653.4083333333335,10,7,26,9,0.6577363389590464,29.0,25,6.04,9.0,0.978531558608845,3680.76,34.97717816730164,0.9188770999115826,90.29101776820028,62.84552985006151,0.7443339960238569,302.20428571507165,1,-1,25.15338001511941,1
27741,0x16fec,CUS_0xbf5c,July,Rothackerk,33,890-06-6231,0.6453287197231834,39656.72,3369.726666666667,7,9,28,7,0.6577363389590464,41.0,22,27.05,6.0,0.978531558608845,3535.37,26.80979844846588,0.9188770999115826,125.84766885277742,120.71847871142609,0.5482233502538071,340.4065191024632,0,13,422.8085637887981,3
20433,0x11221,CUS_0xb021,August,Scottu,30,628-82-4300,0.6212624584717608,64674.2,5675.516666666666,9,7,17,6,0.6577363389590464,58.0,23,1.71,12.0,0.978531558608845,2374.96,26.14761345322205,0.9188770999115826,197.226882969714,346.89117170445365,0.6,293.43361199249904,1,11,1.7440338073423618,0
30715,0x19459,CUS_0xc096,August,Karen Freifeldx,19,679-42-2704,0.5733558178752108,136399.96,11510.663333333332,6,54,19,1,0.2750113431443983,20.0,12,12.31,2544.0,0.8030075187969925,347.51,39.23231867330558,0.9188770999115826,61.00673398374165,1212.4129201690464,0.6284953395472703,167.6466791805451,0,7,797.7360285657741,6
42984,0x23061,CUS_0xf8d,April,Jennifer Ablanr,55,712-91-8519,0.6162420382165605,43983.52,3722.293333333333,0,5,5,-100,0.6577363389590464,4.0,0,3.22,2.0,0.24856961220597584,690.43,32.93794217542886,0.26051560379918587,139.27244075518905,121.352970219647,0.5482233502538071,361.6039223584973,0,17,911.5032133459296,8
10568,0x99e2,CUS_0x2796,May,Tim McLaughlinm,22,123-92-7016,0.6408345752608048,8329.915,,8,5,30,8,0.6577363389590464,41.0,21,1.79,7.0,0.978531558608845,2308.1,33.07932109826939,0.9188770999115826,31.265801966468825,10000.0,0.7443339960238569,249.41198004244453,1,18,0.13898489786970458,0
44287,0x23fab,CUS_0xbda,June,Shupingh,42,580-96-1926,0.6169844020797227,58644.12,5014.01,6,5,21,2,0.6577363389590464,30.0,15,13.5,11.0,0.978531558608845,2160.81,35.276844244058225,0.9188770999115826,60.874830921193215,476.7436403894184,0.7443339960238569,253.7825286893884,1,19,0.5673730653580833,0
13926,0xc44a,CUS_0x71bc,January,Paolai,34,432-65-2200,0.6162420382165605,31004.1,2657.675,9,7,24,5,0.6577363389590464,30.0,20,12.15,6.0,0.978531558608845,1617.55,31.50822097569809,0.9188770999115826,77.96875781078215,49.77889410471324,0.5482233502538071,388.01984808450464,1,7,0.3781258956103102,0
28028,0x17371,CUS_0x8725,August,Jessicai,50,992-37-2937,0.6162420382165605,21905.095,1787.4245833333334,0,4,6,1,0.3022432143713164,5.0,5,2.73,3.0,0.24856961220597584,306.88,31.176904751459407,0.26051560379918587,17.201641042130312,100.74563595641044,0.5903500473036897,320.79518133479263,0,32,901.7928259292586,8
46093,0x255cb,CUS_0xa568,June,t Pascalei,40,520-28-2763,0.6408345752608048,120009.32,10242.776666666668,5,1,7,4,0.6577363389590464,14.0,-1,6.75,0.0,0.24856961220597584,446.51,36.41031464226817,0.26051560379918587,230.5283520682381,204.18398239039504,0.6284953395472703,829.5653322080334,0,29,988.9179972085805,8
29435,0x184a3,CUS_0x18e8,June,Sabrinaq,32,961-57-1916,0.6132686084142395,19633.03,1760.085833333333,6,8,28,7,0.6577363389590464,30.0,19,21.72,11.0,0.6118143459915611,4381.85,24.34327235743887,0.6101987899740708,74.7678592309555,66.80175307043365,0.7443339960238569,324.4389710319442,1,-1,19.334592800227256,1
11550,0xa604,CUS_0xbcfa,March,Viswanathau,40,556-18-4640,0.6013986013986014,58510.6,4693.883333333333,8,7,34,7,0.6577363389590464,34.0,20,9.25,12.0,0.978531558608845,3603.27,30.253679719951123,0.9188770999115826,212.1844454360266,89.69825102635772,0.5903500473036897,427.5056368709489,1,3,19.580781840622763,1
5159,0x551d,CUS_0x74db,April,Forgioneo,38,180-94-8644,0.6914285714285714,10361.92,666.4933333333332,6,5,32,7,0.6577363389590464,53.0,19,26.92,6.0,0.6118143459915611,3293.1,31.865072968905643,0.9188770999115826,44.01212564399689,30.54414902313152,0.7443339960238569,282.09305866620485,1,2,18.9290680554858,1
18536,0xfc97,CUS_0xc016,February,Slaterq,34,850-47-2557,0.6350877192982456,44793.34,3677.778333333333,0,5,3,0,0.6577363389590464,5.0,3,10.69,3.0,0.24856961220597584,585.77,36.07571883082674,0.26051560379918587,0.0,188.3693505525464,0.6,449.40848278078687,0,25,818.9570449818008,7
36592,0x1deb1,CUS_0x6714,August,Dayp,22,460-92-1394,0.6197440585009141,128503.64,10803.636666666667,0,4,1,3,0.6577363389590464,8.0,5,5.42,5.0,0.24856961220597584,382.17,40.81040127557614,0.6101987899740708,274.99239499303576,119.8444215760184,0.4966996699669967,925.5268500976129,0,18,847.2108373688,7
15016,0xd043,CUS_0x1fe3,June,,-1,458-63-0201,0.6408345752608048,76386.04,,8,7,24,7,0.6577363389590464,58.0,15,2.02,10.0,0.978531558608845,3822.36,31.319108534555987,0.6101987899740708,354.2334850409378,425.1061683426551,0.6277992277992278,152.21067994974055,1,8,31.670889171113686,1
21847,0x1249f,CUS_0x86c0,February,Patrick Temple-Westk,20,176-63-8953,0.6212624584717608,14273.35,,9,7,24,8,0.6577363389590464,45.0,17,7.16,9.0,0.978531558608845,3509.08,29.00549180799024,0.9188770999115826,81.23849769033188,66.37391566406038,0.6284953395472703,281.1321699789411,1,8,25.491503383368922,1
20318,0x110e3,CUS_0x5afa,February,Andreas Cremerh,34,447-42-6480,0.6408345752608048,20576.69,1992.7241666666664,10,5,27,7,0.6577363389590464,21.0,-1,9.24,10.0,0.978531558608845,3050.91,31.37001362097264,0.9188770999115826,68.07893419052836,118.18745907405086,0.6284953395472703,273.00602340208746,1,9,12.45027375207053,0
1175,0x243b,CUS_0x2877,June,McLeodc,30,922-07-2675,0.6914285714285714,80591.2,6453.9333333333325,4,4,32,2,0.6577363389590464,31.0,8,10.62,7.0,0.8030075187969925,2024.84,36.046510252758615,0.9188770999115826,97.89725769153412,613.7810166702428,0.6277992277992278,213.7150589715565,1,13,0.36079150851946906,0
44949,0x24788,CUS_0x7b4b,March,Nick Brownm,24,065-77-9473,0.6212624584717608,17235.88,1450.3233333333335,10,5,18,3,0.6577363389590464,50.0,19,10.56,12.0,0.8030075187969925,1971.68,26.88616753043373,0.9188770999115826,30.291558273397587,77.02169411657924,0.7443339960238569,327.7190809433565,1,19,2.0831525165807534,0
33463,0x1b6c7,CUS_0x4d3d,February,Nader Mousavizadeht,34,830-19-3730,0.5733558178752108,78244.68,6483.389999999999,4,6,23,5,0.6577363389590464,26.0,21,14.78,8.0,0.6118143459915611,1737.51,30.342923490377345,0.9188770999115826,46978.0,78.3331071492467,0.4966996699669967,490.94816065458326,1,11,2.498136942975293,0
2055,0x2faa,CUS_0xc41e,May,Lawrence Hurleyp,-1,970-98-2322,0.5733558178752108,10119.76,1067.3133333333335,10,6,31,4,0.6577363389590464,53.0,23,7.16,11.0,0.978531558608845,1388.38,38.44366424180094,0.6101987899740708,18.93990492253925,15.071939654452311,0.5482233502538071,322.71948875634183,1,15,0.32513224061767687,0
14564,0xcb01,CUS_0x13eb,April,Ryanh,30,110-23-1785,0.6013986013986014,9335.19,844.9325,7,10,26,6,0.6577363389590464,17.0,20,18.18,7.0,0.8030075187969925,1860.2,37.473481171870006,0.6101987899740708,41.49926737000092,48.8714867982323,0.5903500473036897,254.12249583176683,1,13,0.6022093066435446,0
23681,0x13c1c,CUS_0xc5ea,March,Luciana Lopezv,26,596-35-4652,0.6914285714285714,21301.19,1372.4249013263498,0,1,9,0,0.6577363389590464,0.0,11,11.45,6.0,0.24856961220597584,1496.62,29.2695851550162,0.26051560379918587,253.67426534031685,57.43226410120136,0.5903500473036897,365.1776525654652,0,30,995.8839525767456,8
28944,0x17ee9,CUS_0x32b8,April,Julien Toyerg,51,456-75-0992,0.599644128113879,21960.095,,4,1007,7,1,0.25005602157928514,5.0,3,8.58,4.0,0.24856961220597584,1246.99,32.666073892325,0.26051560379918587,17.783520452675067,69.24499697999202,0.5482233502538071,336.17227423399964,0,29,765.0323895433336,6
23892,0x13ea3,CUS_0x43d1,February,Nate Raymondk,39,904-98-0688,0.6313993174061433,32749.15,2601.0958333333333,0,2,3,4,0.6577363389590464,2.0,8,6.46,3.0,0.24856961220597584,98.55,36.4708633668694,0.26051560379918587,105.36201902022256,198.8933201704818,0.6277992277992278,235.85424414262897,0,22,997.6783316101317,8
36097,0x1d892,CUS_0xa40b,January,Lynch Christopherf,38,411-75-9732,0.6169844020797227,31530.76,2676.563333333333,1,3,1,4,0.6577363389590464,2.0,12,2.539999999999999,2.0,0.24856961220597584,702.89,27.637531796224582,0.26051560379918587,74.25363171350114,214.07982468110387,0.6277992277992278,259.3228769387283,0,24,913.7659592898082,8
29708,0x18796,CUS_0x9bbc,May,Solarina Hoc,21,456-23-6568,0.6408345752608048,18504.72,1757.0600000000004,6,5,18,6,0.6577363389590464,18.0,19,7.380000000000001,9.0,0.978531558608845,2000.01,38.57662805507575,0.9188770999115826,48.79806633253328,175.03888318036715,0.7443339960238569,241.8690504870996,1,8,22.75841163737323,1
24922,0x14bd5,CUS_0xbcb2,August,Martin Santaq,32,250-74-5945,0.6350877192982456,19853.4,1463.45,6,5,34,-100,0.6577363389590464,48.0,-1,2.55,12.0,0.978531558608845,4435.23,25.178620054371272,0.9188770999115826,89.22063050225692,118.46991556594172,0.7443339960238569,228.65445393180136,1,11,33.88064781154526,1
37575,0x1eb59,CUS_0x39bf,August,Luciar,34,945-83-2116,0.6212624584717608,17823.25,1638.270833333333,7,10,30,6,0.6577363389590464,23.0,15,26.45,11.0,0.978531558608845,3174.97,38.05738842964812,0.9188770999115826,80.39427073792389,51.66608956544474,0.6,301.76672302996474,1,2,13.09883484027921,0
40954,0x21501,CUS_0x3b66,April,Sophie Sassardp,23,551-02-1303,0.6197440585009141,80511.84,6542.32,4,7,2,0,0.6577363389590464,8.0,20,14.11,2377.0,0.24856961220597584,1048.69,33.30726799077541,0.26051560379918587,0.0,60.24591644591957,0.4966996699669967,833.9860835540803,0,20,844.1392591315433,7
19908,0x10c14,CUS_0xc254,July,Yoko Kubotal,27,133-79-2442,0.599644128113879,33818.63,2535.2191666666668,4,3,1,4,0.6577363389590464,15.0,0,5.81,2.0,0.6118143459915611,672.08,26.23201124411925,0.26051560379918587,68.0822036909103,110.67129977487276,0.7443339960238569,364.7684132008836,0,16,905.5852613329828,8
33246,0x1b438,CUS_0x7ec9,July,Matthias Blamonti,26,678-29-7359,0.6197440585009141,171126.04,14431.503333333336,1,3,6,2,0.6577363389590464,11.0,11,5.8,3.0,0.6118143459915611,1190.13,35.29550410070277,0.6101987899740708,192.68719318359925,448.72462366715024,0.5903500473036897,1061.738516482584,0,17,882.0847011177025,8
21001,0x118e1,CUS_0x5a1a,August,Daniel Satarupau,-1,#F%$D@*&8,0.6013986013986014,32599.32,,3,6,7,1,0.29372313632007235,13.0,6,6.61,1.0,0.24856961220597584,1331.03,25.69727441954622,0.26051560379918587,27.1327873082342,74.03425998135695,0.5482233502538071,393.3939527104089,0,32,428.02879155993014,3
45891,0x25335,CUS_0xab4a,April,,18,808-32-5129,0.6162420382165605,78570.28,6326.5233333333335,8,9,16,9,0.6577363389590464,52.0,23,3.69,8.0,0.978531558608845,2621.78,31.64444710820415,0.9188770999115826,378.2126617408138,386.85597096321135,0.7443339960238569,157.58370062930825,1,16,3.387136919750219,0
13443,0xbe3f,CUS_0xc24a,February,Charlieg,31,504-49-1795,0.6350877192982456,35520.48,,3,5,4,0,0.6577363389590464,8.0,9,4.63,3.0,0.24856961220597584,994.53,32.420278950218,0.6101987899740708,0.0,289.7149383440481,0.7443339960238569,269.989061655952,0,32,818.1765736319443,7
37074,0x1e4da,CUS_0xb4ee,January,Soyoung Kimf,22,703-46-2158,0.6453287197231834,19989.65,1563.8041666666668,10,54,21,9,0.6577363389590464,53.0,21,6.24,11.0,0.978531558608845,2083.35,33.65192644137268,0.9188770999115826,94.215518723392,191.3667372521837,0.6284953395472703,160.79816069109103,1,9,0.44230232672259717,0
33939,0x1bd34,CUS_0xd8e,March,John Crawleyy,29,773-23-5820,0.6212624584717608,14638.38,1295.865,7,5,8,3,0.6577363389590464,29.0,14,8.4,7.0,0.24856961220597584,424.65,31.328181089696265,0.26051560379918587,27.783186545798788,52.12139421574085,0.5482233502538071,299.6819192384604,0,28,879.950563172468,7
6196,0x622e,CUS_0x4640,January,Nick Edwardst,35,969-47-8792,0.6162420382165605,56614.2,4638.85,9,10,33,7,0.6577363389590464,51.0,-1,11.23,10.0,0.8030075187969925,2600.73,26.730967570679013,0.9188770999115826,310.1451069152477,116.80476480516415,0.5903500473036897,296.9351282795882,1,18,1.6344333020176691,0
19808,0x10b22,CUS_0x39bd,May,Jenniferm,35,#F%$D@*&8,0.6313993174061433,79323.96,,9,8,17,8,0.6577363389590464,43.0,23,23.77,12.0,0.978531558608845,3393.48,34.832926730000445,0.9188770999115826,423.1495504156436,97.79442106659704,0.5482233502538071,419.08902851775946,1,14,14.722380757287283,0
34902,0x1c970,CUS_0x5e7a,March,Taylork,30,671-32-4609,0.6408345752608048,47404.02,3883.3350000000014,7,9,24,6,0.6577363389590464,46.0,15,11.61,9.0,0.8030075187969925,2621.5,29.0335622262322,0.9188770999115826,156.46800087582668,133.59598265358247,0.6284953395472703,388.2695164705909,1,11,6.163244172426289,0
45701,0x250d0,CUS_0x25ea,March,Petee,29,730-19-4290,0.6453287197231834,20933.46,,7,5,27,3,0.6577363389590464,46.0,20,14.05,1493.0,0.6118143459915611,1665.01,39.211979044945714,0.9188770999115826,52.2718447022509,118.92931137993668,0.7443339960238569,304.5443439178124,1,8,0.13252047785374543,0
21237,0x11b72,CUS_0x7e06,May,Li-mei Hoangb,21,013-51-5521,0.6197440585009141,64662.04,5532.503333333332,1,2,2,3,0.6577363389590464,5.0,9,2.41,4.0,0.24856961220597584,1376.25,41.2063023633788,0.26051560379918587,83.84218528849996,120.00957509418424,0.4966996699669967,589.398572950649,0,25,997.1182980643697,8
9769,0x8fda,CUS_0x9595,May,,32,740-18-4590,0.599644128113879,115123.16,9541.596666666666,0,5,9,2,0.6577363389590464,,1,2.14,3.0,0.24856961220597584,286.29,33.70068040233174,0.26051560379918587,166.99180844726837,206.67788661051603,0.5482233502538071,830.4899716088823,0,26,923.164211138061,8
17289,0xeccf,CUS_0xa2b0,June,Marcu,26,785-25-4393,0.6169844020797227,30536.26,2697.688333333333,4,1,7,0,0.6577363389590464,2.0,9,0.2400000000000002,3.0,0.6118143459915611,457.32,28.03238491697752,0.26051560379918587,0.0,91.1005328659575,0.5482233502538071,428.6683004673758,0,32,996.9771295576057,8
36030,0x1d79b,CUS_0x7c60,June,Melissay,45,898-22-2622,0.6333878887070377,56135.76,4974.980000000001,3,6,20,2,0.6577363389590464,5.0,17,4.4,4.0,0.8030075187969925,366.46,27.88423163486028,0.26051560379918587,78.06849718311086,285.9658085486738,0.7443339960238569,423.4636942682153,1,15,531.9715857147455,4
6100,0x60ea,CUS_0x7ca7,January,,46,642-82-4606,0.6408345752608048,38873.01,3287.4175,5,7,12,4,0.6577363389590464,12.0,13,5.42,4.0,0.24856961220597584,17.87,29.9266253910458,0.26051560379918587,83.28570297516731,349.4711527636209,0.7443339960238569,185.98489426121185,0,27,786.0468810945547,6
11015,0x9fa7,CUS_0x5a88,June,Poornimaj,-1,237-24-8008,0.6408345752608048,63340.32,5345.36,7,7,21,6,0.6577363389590464,35.0,6,12.72,6.0,0.8030075187969925,1571.84,37.40516078667858,0.9188770999115826,234.8938354064848,98.46589049243508,0.5482233502538071,451.1762741010802,1,19,3.417798807166264,0
5975,0x5f25,CUS_0x3ade,April,Josepho,28,085-36-7495,0.6914285714285714,20000.41,1894.700833333333,2,5,5,1,0.21502102078226873,8.0,-1,1.48,0.0,0.6118143459915611,446.57,31.125473443232647,0.6101987899740708,10.975636939411958,70.93258334014341,0.6,377.561863053778,1,27,793.4342880041963,6
22639,0x12ecd,CUS_0x406e,April,Lucia Mutikanik,54,178-31-4896,0.6013986013986014,22434.16,2060.5133333333333,3,3,17,1,0.21502102078226873,10.0,20,15.62,1.0,0.8030075187969925,13.72,24.599151541378426,0.9188770999115826,17.040315207574178,31.544260176634246,0.4966996699669967,397.4667579491249,0,32,675.604216841813,5
10113,0x93fc,CUS_0x922f,July,Paul Lienertx,-1,477-02-5379,0.63016157989228,30243.64,,10,7,23,6,0.6577363389590464,19.0,18,7.32,15.0,0.978531558608845,2027.23,37.12676618090914,0.6101987899740708,85.88494194240394,187.2277947392617,0.7443339960238569,291.21759665166763,1,15,0.6891062664695937,0
25948,0x1587a,CUS_0x1dbb,May,Nick Edwardst,28,000-89-8752,0.5817223198594025,7187.17,,8,8,22,5,0.6577363389590464,32.0,25,18.44,9.0,0.978531558608845,1438.65,28.27648772735923,0.9188770999115826,26.825212964975705,22.01073331851797,0.6,270.05713704983964,1,8,1.1922528208933727,0
41809,0x2202d,CUS_0x72a7,August,,51,908-28-4029,0.63016157989228,23414.76,1961.23,3,7,7,2,0.6577363389590464,8.0,-1,2.52,0.0,0.8030075187969925,370.32,29.22693518128457,0.9188770999115826,28.83160966868802,169.2596866924249,0.6,268.03170363888705,0,19,755.8937244055107,6
41270,0x21954,CUS_0x61e3,July,"ODonnell""i",48,101-45-1608,0.6914285714285714,86776.59,7154.3825,8,7,16,3,0.6577363389590464,13.0,-1,4.95,1.0,0.8030075187969925,638.99,31.21901535814452,0.26051560379918587,128.30784380914548,131.15151764960828,0.4966996699669967,695.9788885412462,1,23,440.17295626901637,3
3986,0x4659,CUS_0x8804,April,Susan Tayloro,41,359-61-1027,0.6169844020797227,1354835.0,958.8625,7,9,33,8,0.6577363389590464,26.0,20,7.9700000000000015,12.0,0.978531558608845,1945.68,31.74442993540067,0.9188770999115826,67.46163206909782,10000.0,0.6,220.77806133681543,1,20,1.0495248755522653,0
31491,0x19e99,CUS_0x924,April,,26,409-92-8008,0.6408345752608048,179166.48,14929.54,1,5,5,1,0.24762125350835273,6.0,1,10.75,3.0,0.24856961220597584,181.42,34.88377723403447,0.26051560379918587,138.80174817100493,932.6891211494304,0.7443339960238569,711.4631306795649,0,31,725.3563765892677,5
39987,0x20865,CUS_0xabd5,April,Shalal-Esai,45,403-75-4569,0.5817223198594025,54346.35000000001,,6,7,19,8,0.6577363389590464,51.0,25,22.97,14.0,0.978531558608845,4775.2,31.24043964254773,0.9188770999115826,332.5636712634186,442.3081709363223,0.6277992277992278,-1.0,1,12,24.64344178026795,1
14006,0xc504,CUS_0x9ee5,July,,21,043-79-7391,0.6333878887070377,11426.59,,4,7,5,0,0.6577363389590464,28.0,11,10.56,11.0,0.8030075187969925,465.1,32.192145037583195,0.9188770999115826,0.0,81.13361232233281,0.7443339960238569,302.38797101100056,1,17,462.2515510374908,3
4504,0x4cba,CUS_0xac60,May,,22,930-23-0780,0.6408345752608048,131235.75,11085.3125,3,4,4,4,0.6577363389590464,2.0,5,2.09,4.0,0.24856961220597584,1048.29,32.65233520466087,0.26051560379918587,343.3022949455576,445.1337174711554,0.5482233502538071,570.0952375832869,0,22,956.2570967648676,8
7479,0x71b3,CUS_0xb74c,February,Huw Jonest,32,687-42-0262,0.6162420382165605,73475.02,6225.918333333334,0,5,8,3,0.6577363389590464,30.0,9,5.6,1.0,0.24856961220597584,148.21,36.89115490792393,0.26051560379918587,177.01684711754208,212.101047849486,0.5482233502538071,483.4739383663052,1,16,24.22849214169719,1
1422,0x27a4,CUS_0x41e4,March,Leika Kiharad,45,803-07-6149,0.6333878887070377,12613.56,919.13,5,3,5,0,0.6577363389590464,20.0,-1,3.5,2.0,0.24856961220597584,328.41,31.69830331851913,0.26051560379918587,0.0,49.534370580826966,0.6277992277992278,322.378629419173,0,19,383.9361523277124,3
34146,0x1bfec,CUS_0x8382,March,Allison Martells,32,853-68-8996,0.6162420382165605,54378.51,4369.5425,6,10,15,5,0.6577363389590464,47.0,25,1.61,6.0,0.6118143459915611,1482.64,28.63090535860969,0.9188770999115826,153.5068612090645,126.9608332560676,0.5903500473036897,416.4865555348679,1,16,9.077561059923937,0
24479,0x1465f,CUS_0x4e2,February,Holtonc,27,435-84-4378,0.6333878887070377,63484.24,5157.3533333333335,5,7,10,2,0.6577363389590464,28.0,10,17.119999999999994,6.0,0.6118143459915611,295.16,27.48248756855748,0.26051560379918587,68.14234084783807,684.8231016423174,0.7443339960238569,52.76989084317791,1,27,661.4090590140186,5
2952,0x39be,CUS_0xc02f,May,Lisac,22,603-89-2856,0.6333878887070377,124033.96,,0,4,12,4,0.6577363389590464,10.0,0,15.9,1.0,0.24856961220597584,574.88,40.53571990735888,0.26051560379918587,264.30682230821753,255.0837456852177,0.4966996699669967,770.6257653398982,0,-1,858.6132515418064,7
17474,0xeeeb,CUS_0x4ace,June,Leah Schnurrw,22,719-15-2592,0.5733558178752108,19280.73,,5,9,32,2,0.6577363389590464,19.0,11,-1.0,10.0,0.8030075187969925,2412.06,36.020022875276915,0.9188770999115826,17.677035792091182,134.03151478733676,0.7443339960238569,324.86419942057205,1,9,0.40097988813329266,0
